,Rank,Order,Family,Genus,Species,BreedRegion,OrigG,SDate,SAuthors,GDate,GAuthors,DateRank
0,1,STRUTHIONIFORMES,Struthionidae,Struthio,camelus,AF,True,1758,Linnaeus,1758,Linnaeus,1
1,2,STRUTHIONIFORMES,Struthionidae,Struthio,molybdophanes,AF,True,1883,Reichenow,1758,Linnaeus,2
2,1,RHEIFORMES,Rheidae,Rhea,americana,SA,False,1758,Linnaeus,1760,Brisson,1
3,2,RHEIFORMES,Rheidae,Rhea,pennata,SA,True,1834,d'Orbigny,1760,Brisson,2
4,1,APTERYGIFORMES,Apterygidae,Apteryx,australis,AU,True,1813,Shaw,1813,Shaw,1
5,2,APTERYGIFORMES,Apterygidae,Apteryx,mantelli,AU,True,1852,Bartlett,1813,Shaw,3
6,3,APTERYGIFORMES,Apterygidae,Apteryx,rowi,AU,True,2003,Tennyson Palma Robertson Worthy Gill BJ,1813,Shaw,5
7,4,APTERYGIFORMES,Apterygidae,Apteryx,owenii,AU,True,1847,Gould,1813,Shaw,2
8,5,APTERYGIFORMES,Apterygidae,Apteryx,haastii,AU,True,1872,Potts,1813,Shaw,4
9,1,CASUARIIFORMES,Casuariidae,Casuarius,casuarius,AU,False,1758,Linnaeus,1760,Brisson,1
10,2,CASUARIIFORMES,Casuariidae,Casuarius,bennetti,AU,True,1857,Gould,1760,Brisson,2
11,3,CASUARIIFORMES,Casuariidae,Casuarius,unappendiculatus,AU,True,1860,Blyth,1760,Brisson,3
12,1,CASUARIIFORMES,Casuariidae,Dromaius,novaehollandiae,AU,False,1790,Latham,1816,Vieillot,1
13,1,TINAMIFORMES,Tinamidae,Tinamus,tao,SA,True,1815,Temminck,1783,Hermann,2
14,2,TINAMIFORMES,Tinamidae,Tinamus,solitarius,SA,False,1819,Vieillot,1783,Hermann,3
15,3,TINAMIFORMES,Tinamidae,Tinamus,osgoodi,SA,True,1949,Conover,1783,Hermann,5
16,4,TINAMIFORMES,Tinamidae,Tinamus,major,MA SA,False,1789,Gmelin JF,1783,Hermann,1
17,5,TINAMIFORMES,Tinamidae,Tinamus,guttatus,SA,True,1863,Pelzeln,1783,Hermann,4
18,1,TINAMIFORMES,Tinamidae,Nothocercus,bonapartei,MA SA,False,1867,Gray GR,1856,Bonaparte,2
19,2,TINAMIFORMES,Tinamidae,Nothocercus,julius,SA,False,1854,Bonaparte,1856,Bonaparte,1
20,3,TINAMIFORMES,Tinamidae,Nothocercus,nigrocapillus,SA,False,1867,Gray GR,1856,Bonaparte,2
21,1,TINAMIFORMES,Tinamidae,Crypturellus,berlepschi,SA,False,1897,Rothschild,1914,Brabourne Chubb C,17
22,2,TINAMIFORMES,Tinamidae,Crypturellus,cinereus,SA,False,1789,Gmelin JF,1914,Brabourne Chubb C,2
23,3,TINAMIFORMES,Tinamidae,Crypturellus,soui,MA SA,False,1783,Hermann,1914,Brabourne Chubb C,1
24,4,TINAMIFORMES,Tinamidae,Crypturellus,ptaritepui,SA,True,1945,Zimmer JT Phelps,1914,Brabourne Chubb C,21
25,5,TINAMIFORMES,Tinamidae,Crypturellus,obsoletus,SA,False,1815,Temminck,1914,Brabourne Chubb C,4
26,6,TINAMIFORMES,Tinamidae,Crypturellus,undulatus,SA,False,1815,Temminck,1914,Brabourne Chubb C,4
27,7,TINAMIFORMES,Tinamidae,Crypturellus,transfasciatus,SA,False,1878,Sclater PL Salvin,1914,Brabourne Chubb C,16
28,8,TINAMIFORMES,Tinamidae,Crypturellus,strigulosus,SA,False,1815,Temminck,1914,Brabourne Chubb C,4
29,9,TINAMIFORMES,Tinamidae,Crypturellus,duidae,SA,True,1938,Zimmer JT,1914,Brabourne Chubb C,20
30,10,TINAMIFORMES,Tinamidae,Crypturellus,erythropus,SA,False,1863,Pelzeln,1914,Brabourne Chubb C,13
31,11,TINAMIFORMES,Tinamidae,Crypturellus,noctivagus,SA,False,1820,zu Wied-Neuwied,1914,Brabourne Chubb C,8
32,12,TINAMIFORMES,Tinamidae,Crypturellus,atrocapillus,SA,False,1844,Tschudi,1914,Brabourne Chubb C,11
33,13,TINAMIFORMES,Tinamidae,Crypturellus,cinnamomeus,MA,False,1842,Lesson PA,1914,Brabourne Chubb C,10
34,14,TINAMIFORMES,Tinamidae,Crypturellus,boucardi,MA,False,1860,Sclater PL,1914,Brabourne Chubb C,12
35,15,TINAMIFORMES,Tinamidae,Crypturellus,kerriae,MA SA,False,1915,Chapman,1914,Brabourne Chubb C,18
36,16,TINAMIFORMES,Tinamidae,Crypturellus,variegatus,SA,False,1789,Gmelin JF,1914,Brabourne Chubb C,2
37,17,TINAMIFORMES,Tinamidae,Crypturellus,brevirostris,SA,False,1863,Pelzeln,1914,Brabourne Chubb C,13
38,18,TINAMIFORMES,Tinamidae,Crypturellus,bartletti,SA,False,1873,Sclater PL Salvin,1914,Brabourne Chubb C,15
39,19,TINAMIFORMES,Tinamidae,Crypturellus,parvirostris,SA,False,1827,Wagler,1914,Brabourne Chubb C,9
40,20,TINAMIFORMES,Tinamidae,Crypturellus,casiquiare,SA,False,1929,Chapman,1914,Brabourne Chubb C,19
41,21,TINAMIFORMES,Tinamidae,Crypturellus,tataupa,SA,False,1815,Temminck,1914,Brabourne Chubb C,4
42,1,TINAMIFORMES,Tinamidae,Rhynchotus,rufescens,SA,False,1815,Temminck,1825,von Spix,1
43,2,TINAMIFORMES,Tinamidae,Rhynchotus,maculicollis,SA,True,1867,Gray GR,1825,von Spix,2
44,1,TINAMIFORMES,Tinamidae,Nothoprocta,taczanowskii,SA,True,1875,Sclater PL Salvin,1873,Sclater PL Salvin,6
45,2,TINAMIFORMES,Tinamidae,Nothoprocta,ornata,SA,False,1867,Gray GR,1873,Sclater PL Salvin,3
46,3,TINAMIFORMES,Tinamidae,Nothoprocta,perdicaria,SA,False,1830,Kittlitz,1873,Sclater PL Salvin,1
47,4,TINAMIFORMES,Tinamidae,Nothoprocta,cinerascens,SA,False,1860,Burmeister,1873,Sclater PL Salvin,2
48,5,TINAMIFORMES,Tinamidae,Nothoprocta,pentlandii,SA,False,1867,Gray GR,1873,Sclater PL Salvin,3
49,6,TINAMIFORMES,Tinamidae,Nothoprocta,curvirostris,SA,True,1873,Sclater PL Salvin,1873,Sclater PL Salvin,5
50,1,TINAMIFORMES,Tinamidae,Nothura,boraquira,SA,False,1825,von Spix,1827,Wagler,2
51,2,TINAMIFORMES,Tinamidae,Nothura,minor,SA,False,1825,von Spix,1827,Wagler,2
52,3,TINAMIFORMES,Tinamidae,Nothura,darwinii,SA,True,1867,Gray GR,1827,Wagler,4
53,4,TINAMIFORMES,Tinamidae,Nothura,maculosa,SA,False,1815,Temminck,1827,Wagler,1
54,5,TINAMIFORMES,Tinamidae,Nothura,chacoensis,SA,True,1937,Conover,1827,Wagler,5
55,1,TINAMIFORMES,Tinamidae,Taoniscus,nanus,SA,False,1815,Temminck,1842,Gloger,1
56,1,TINAMIFORMES,Tinamidae,Eudromia,elegans,SA,True,1832,Geoffroy Saint-Hilaire I,1832,Geoffroy Saint-Hilaire I,1
