,0
0,Akialoa
1,Akletos
2,Alectroenas
3,Alopecoenas
4,Anthocephala
5,Anthornis
6,Antigone
7,Aplonis
8,Ardenna
9,Artamus
10,Artemisiospiza
11,Bolemoreus
12,Bucanetes
13,Bucco
14,Callaeas
15,Caloenas
16,Caloramphus
17,Cathartes
18,Ceratopipra
19,Cercomacroides
20,Cercotrichas
21,Chamaetylas
22,Chenorhamphus
23,Chlorodrepanis
24,Chloropicus
25,Chloropipo
26,Cholornis
27,Cichlocolaptes
28,Clanga
29,Coracornis
30,Cyanoptila
31,Cyanoramphus
32,Dendrocoptes
33,Drepanis
34,Dryobates
35,Dryolimnas
36,Eleothreptus
37,Emarginata
38,Euchrepomis
39,Eugenes
40,Eupsittula
41,Foulehaio
42,Geranoaetus
43,Graminicola
44,Haemorhous
45,Hafferia
46,Heterophasia
47,Himatione
48,Iole
49,Lamprolia
50,Laticilla
51,Leistes
52,Leuconotopicus
53,Mareca
54,Mascarenotus
55,Melaniparus
56,Moho
57,Montecincla
58,Myiopsitta
59,Myrmelastes
60,Myrmoderus
61,Nesoclopeus
62,Northiella
63,Notiochelidon
64,Nyctanassa
65,Nyctidromus
66,Ocreatus
67,Oneillornis
68,Oxypogon
69,Parabuteo
70,Phibalura
71,Phyllergates
72,Prosobonia
73,Psephotellus
74,Pseudastur
75,Pseudorectes
76,Psittacara
77,Psittacus
78,Pyrocephalus
79,Ramphocelus
80,Rhodacanthis
81,Rhopophilus
82,Salpornis
83,Schistes
84,Sciaphylax
85,Sholicola
86,Siphonorhis
87,Sipia
88,Spatula
89,Stephanoxis
90,Systellura
91,Turnagra
92,Uromyias
93,Vauriella
94,Willisornis
95,Xenicus
96,Yungipicus
97,Zentrygon
