,GeAuthored,SpAuthored
acerbi,0,1
adamowicz,1,0
adams,0,1
agne,1,0
agro,0,1
ainley,0,1
aiwu,0,1
aleixo,1,3
alexander,3,19
alfaro,0,1
allen d,0,1
allen ja,1,8
alonso,0,4
alström,0,6
amadon,1,3
amaral,1,0
and,1,0
anderson,0,5
antinori,0,3
arnold,0,1
ascanio,0,2
ash,0,2
ashby,0,1
ashmole,1,1
athreya,0,1
audebert,0,3
audubon,1,24
avendaño,0,1
baillon,0,1
baird sf,17,32
baird wm,0,2
baker ecs,1,1
baker em,0,1
baker ne,0,1
baldenstein,1,1
balderrama,0,1
ball,0,1
bangs,5,28
banks,3,0
bannerman,1,4
barbour,3,3
barboza,0,32
barker,1,1
barrows wb,0,1
bartlett,0,4
barton,0,1
bates,2,9
bates jm,0,1
beavan,0,4
bechstein,5,20
beehler,0,1
belmonte-lopes,0,1
bemmel,0,1
benitez,0,1
benkman,0,1
bennett et,0,1
bennett fd,0,1
benson,0,13
beresford,0,1
berezowski,0,6
berlepsch,10,65
berlioz,1,7
bernard,0,1
berthelot,0,1
bertoni aw,2,2
bertoni m,0,1
bianchi,2,8
billberg,2,0
binford,0,1
bingham,1,2
biswas,0,2
blake,0,5
blanford,0,8
blasius jh,4,1
blasius w,0,13
block,0,1
bloxam a,0,1
blundell,0,3
blyth,44,197
bocage,0,32
boddaert,3,109
boetticher,4,0
boie,1,0
boie f,48,3
boissonneau,0,25
boles,0,1
bolle,0,1
bolton,0,1
bonaparte,164,203
bonatto,0,1
bond,1,5
bonnaterre,5,3
borkhausen,2,1
bornschein,1,3
bosc,0,4
boucard,0,4
boulton,0,4
bour,1,2
bourcier,0,73
bourne,1,2
bourns,0,11
bouvier,0,2
bowie,0,2
brabourne,1,0
bradfield,1,0
brandt jf,5,10
braun,1,1
bravo,9,2
brehm ae,0,2
brehm cl,2,10
brewster,0,7
brisson,61,0
broad,0,1
brooke,2,0
brooks we,0,9
brown t,1,0
bruch,1,4
brumfield,12,1
bryan,0,1
bryant h,1,9
bryant we,0,1
brème,0,1
brüggemann,0,6
brünnich,0,5
buller,0,8
burchell,0,4
burmeister,4,15
burns kj,1,0
burton,1,8
burton pjk,1,0
