,Rank,Order,Family,Genus,Species,BreedRegion,OrigG,SDate,SAuthors,GDate,GAuthors,DateRank,SpG,Type,AfterGenusErection,BeforeGenusErection,DuringGenusErection
0,1,STRUTHIONIFORMES,Struthionidae,Struthio,camelus,AF,True,1758,['linnaeus'],1758,['linnaeus'],1,2,True,False,False,True
1,2,STRUTHIONIFORMES,Struthionidae,Struthio,molybdophanes,AF,True,1883,['reichenow'],1758,['linnaeus'],2,2,False,True,True,False
2,1,RHEIFORMES,Rheidae,Rhea,americana,SA,False,1758,['linnaeus'],1760,['brisson'],1,2,True,False,False,False
3,2,RHEIFORMES,Rheidae,Rhea,pennata,SA,True,1834,"[""d'orbigny""]",1760,['brisson'],2,2,False,True,True,False
4,1,APTERYGIFORMES,Apterygidae,Apteryx,australis,AU,True,1813,['shaw'],1813,['shaw'],1,5,True,False,False,True
5,2,APTERYGIFORMES,Apterygidae,Apteryx,mantelli,AU,True,1852,['bartlett'],1813,['shaw'],3,5,False,True,True,False
6,3,APTERYGIFORMES,Apterygidae,Apteryx,rowi,AU,True,2003,"['tennyson', 'palma', 'robertson', 'worthy', 'gill bj']",1813,['shaw'],5,5,False,True,True,False
7,4,APTERYGIFORMES,Apterygidae,Apteryx,owenii,AU,True,1847,['gould'],1813,['shaw'],2,5,False,True,True,False
8,5,APTERYGIFORMES,Apterygidae,Apteryx,haastii,AU,True,1872,['potts'],1813,['shaw'],4,5,False,True,True,False
9,1,CASUARIIFORMES,Casuariidae,Casuarius,casuarius,AU,False,1758,['linnaeus'],1760,['brisson'],1,3,True,False,False,False
10,2,CASUARIIFORMES,Casuariidae,Casuarius,bennetti,AU,True,1857,['gould'],1760,['brisson'],2,3,False,True,True,False
11,3,CASUARIIFORMES,Casuariidae,Casuarius,unappendiculatus,AU,True,1860,['blyth'],1760,['brisson'],3,3,False,True,True,False
12,1,CASUARIIFORMES,Casuariidae,Dromaius,novaehollandiae,AU,False,1790,['latham'],1816,['vieillot'],1,1,True,False,False,False
