,0
0,Nesoclopeus poecilopterus;
1,Prosobonia leucoptera;
2,Procelsterna cerulea
3,Alectroenas nitidissimus;
4,Siphonorhis americana;
5,Psephotellus pulcherrimus;
6,Cyanoramphus zealandicus;
7,Xenicus longipes;
8,Schistocichla leucostigma
9,Dixiphia pipra
10,Callaeas cinereus;
11,Artamus leucoryn
12,Pachysylvia decurtata
13,Moho nobilis;
14,Orochelidon murina
15,Phyllergates cuculatus
16,Heterophasia pieaoides
17,Aplonis fusca;
18,Pseudalethe poliocephala
19,Rhodacanthis palmeri;
20,Drepanis pacifica;
21,Ramphocelus bresilius
